razao_social;cnpj;ie;rua;bairro;cidade;estado;cep;telefone
Instec Indústria e Comércio de Equiptos Ltda EPP;"01197321000109";"442096862113";Rua Fulvio Alves de Oliveira, 21;Guapituba;Maua;SP;09360-485;(011) 4555-7944
Vibromaster Balanceamento Industrial ;"05629912000140";"388073330110";Rua Maria Soldeira Lourençon, 621;Santa Julia;Itupeva;SP;13295-000;(011) 4496-2001
Jundanel Fixação e Ferramentas Ltda;"45779451000107";"714079490113";Rua Bom Jesus de Pirapora, 1088;Vianelo;Jundiai;SP;13207-605;(011) 4527-4100
Pitacrina Ind. e Com. de Escovas Ltda.;"61490066000100";"103952156118";Rua Platina, 252;Tatuapé;São Paulo;SP;03308-010;(011) 2295-8383
Mecânica Famma Ltda;"55608681000167";"387038062119";Av. Eugen Wissmann, 651;São Luiz;Itu;SP;13304-270;(011) 4024-8800
Rolatel Comércio de Rolamentos Ltda;"65837262000150";"113107022116";Rua Alvarenga, 2201;Butanta;São Paulo;SP;05509-006;(011) 3030-0688
Recrom Sumare Com. E recup. De Peças Automotivas Ltda;"72927197000110";"671070920110";Rua São Joaquim, 78;Nova Veneza;Sumare;SP;13180-474;(019) 3822-5500
Umicontrol Umidade Controlada Ind. Ltda;"01357677000144";"626087190119";Rua Javaes, 730;Vila Eldizia;Sto. André;SP;09181-570;(011) 4422-8910
Carflax Hidraúlica Ltda;"56913445000117";"407103857119";Av. Americo Bruno, 75;Ponte São João;Jundiai;SP;13218-080;(011) 4521-9777
Maltus Acessorios e Paineis Ltda;"66586314000126";"244426593119";Rua Serra do Mar, 183;Vila Nova São José;Campinas;SP;13100-442;(019) 3255-1875
Cruzaço Fundição e Mecânica Ltda;"62249248000148";"400001491119";Rodovia Dom Pedro I Km 89;;Jarinu;SP;13240-000;(011) 4417-7625
Wellington Anderson Marceli;"29286208000109";"412130197116";Rua Victorio Spinucci, 1460;JD Promeca;Várzea Pta.;SP;23223-200;(011) 4596-1846
IFM Electronic Ltda;"02263430000121";"796290943115";Av. Monteiro Lobato, 4550 Asa 4 Galpão 1;;Guarulhos;SP;07180-000;(015)98121-5399
Siliconny Ind. E Com. Ltda;"61177960000116";"635192541118";Rua Brasilia, 481;Rudge Ramos;SBC;SP;09631-050;(011) 4367-3588
Delta Link Comércio e Importação Ltda;"68189877000106";"286108846112";Rua Cariris, 61/69;Jardim Tamoio;Diadema;SP;09951-420;(011) 4066-7100
Masifer Comércio de Ferros Ltda EPP;"05652262000154";"708188501115";Rua Antonio Carlos Russo, 63;Vila Faustina II;Valinhos;SP;13272-362;(019) 3871-5373
Ultra Máquinas Comercial de Ferramentas Ltda;"00314550000347";"244597236111";Rua Salto Grande, 658;JD do Trevo;Campinas;SP;13040-001;(019) 3778-8000
Equicontrol Equipamentos de Controle Ltda;"44056950000103";"626101175110";Rua Afonso de Mendonça, 113;Homero Thon;Sto. André;SP;09110-410;(011) 4474-3600
Plasxiglas;"43087063000130";"108611019110";Rua Maestro Cardim, 18;Liberdade;São Paulo;SP;01323-000;(011) 3262-1919
Willy Instrumentos de Medição e Controle Ltda;"07645541000116";"636278013115";Rua João Pessoa, 620;Centro ;S.C. do Sul;SP;09520-000;(011) 4224-7400
Industria de Metais Perfurados Glória S/A;"51466811000113";"417005510115";Via Anhanguera Km 146,5;Bairro dos Pires;Limeira;SP;13524-199;(019) 3451-2455
Casa da Boia Comercio Industria de Metais Ltda;"61258703000109";"100151844115";Rua Florêncio de Abreu, 123;Centro;São Paulo;SP;01029-000;(011) 3312-6255
Jundipar Parafusos e Ferramentas Ltda;"50975853000117";"407008854111";Rua 23 de Maio, 121;Vianelo;Jundiai;SP;13207-070;(011) 4521-3799
J.S Araujo& Cia Ltda EPP;"01941753000164";"401082583110";Av. João Sanzovo, 2451;5º Zona Industrial ;Jau;SP;17206-220;(014) 3621-6146
MSC Ind. E Comércio Ltda;"23823943000110";"637371940110";Rua Bruno Panhoca, 314;Jardim São Paulo;São Carlos;SP;13570-430;(016) 3416-8007
CRS Acessórios Industriais Ltda.;"03962653000140";"714084350115";Rua Henrique Trevisan, 65;JD Trevisan;Vinhedo;SP;13280-152;(019) 3826-2411
Mestra Vedações e Rolamentos Ltda;"02959275000182";"407233166111";Rua Bom Jesus de Pirapora, 1183;Vianelo;Jundiaí;SP;13207-661;(011) 4527-6802
Vinhefer Comercio de Chapas e Perfilador de Aço Ltda - ME;"25189875000104";"714074504110";Estrada da boiada, 2955;Vista Alegre ;Vinhedo;SP;13285-210;(019) 3846-6110
FERRUSI Indústria e Comércio de Peças Ltda.;"02114381000165";"664058681119";Via Antônio Sarti SN KM 1,6 ;D.I.M.L.B. Americano;Sertãozinho;SP;14175-350;(016) 3946-4766
Tubos Ipiranga Indústria e Comércio Ltda;"01477885000187";"635457439114";Av. Piraporinha, 317;Bairro Planalto;S.B. do Campo;SP;09891-000;(011) 4391-6000
Tasco Ltda;"43071109000122";"219004918112";Av. Ver. José Ângelo Biagioni, 850;Pau D`alho;Boituva;SP;18550-000;(015) 3363-8000
F Ceolin Pinturas EPP;"06027752000122";"6468";Estrada da Rainha, 1710;Ponte Preta;Louveira;SP;13290-000;(011) 94731 0401
Jati Serviços Comercio e Importação de Aços Ltda;"03846642000102";"115719976110";Rua Roberto Koch, 363;Ipiranga;São Paulo;SP;04221-060;(011) 2172-0405
Centerbor Comércio de Borrachas e Plást. Eireli ME;"62100383000127";"353042777117";Av. Presidente Kennedy, 668;Cidade Nova I;Indaiatuba;SP;13334-170;(019) 3875-2688
FKN Fabrica de Imãs Eireli;"20267054000125";"143527181118";Rua Sumidouro, 305;Pinheiros ;São Paulo;SP;05428-070;(011) 3854-6130
ACE Schmersal Eletrônica Industrial Ltda;"61854147000133";"219002872110";Rod. Boituva Porto Feliz Km 12;;Boituva;SP;18550-000;(015) 3263-9833
Camp Gaservice Ferr. Equip. Soldas Eireli EPP;"53261939000176";"244230555110";Rua Manoel Francisco Mendes, 40;Jardim do Trevo;Campinas;SP;13030-110;(019) 3272-4807
JAB Fioranti;"05285792000101";"712103446113";Av. Bertioga, 1901;Jardim Bertioga ;Varzea Paulista ;SP;13220-000;(011) 4606-3928
Multielos Serviços de Galvanoplastia ltda EPP;"51284727000189";"244167598118";Rua Lauro Vanucci, 515;JD. Santa Candida;Campinas;SP;13087-548;(019) 3256-7675
Feira da Borracha de Campinas Ltda.;"01051970000189";"244355757113";Av. Papa Paulo VI, 31;Jardim do Trevo;Campinas;SP;13040-000;(019) 3778-9800
Usinagem e Ferramentaria Merci Ltda;"05285792000101";"712103446113";Av. Bertioga, 1901;Jardim Bertioga ;Varzea Paulista ;SP;13220-000;(011) 4606-3928
Marcelo Martins Dourado EPP;"02050093000194";"600046939114";Rua Italia Manfredini, 103;Nucleo Industrial Alert;Salto;SP;13323-141;(011) 4029-2291
Giusti & Cia Ltda;"61093068000157";"103592043113";Rua Italia Giusti, 328;Itaquera;São Paulo;SP;08270-698;(011) 2523-9700
